host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1466410,2011-12-02,within a few hours,FALSE,1,1,Annex,Private room,1,1,1,NA,$34.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
812337,2011-07-12,within an hour,FALSE,3,3,Dufferin Grove,Private room,1,3,1,0,$73.00,17,TRUE,99,10,10,10,10,9,10
1108156,2011-09-04,within an hour,TRUE,2,2,Waterfront Communities-The Island,Entire home/apt,1,2,0,NA,$110.00,58,TRUE,99,10,10,10,10,10,10
1591140,2012-01-10,within a day,FALSE,2,2,Mount Pleasant East,Shared room,1,2,1,NA,$50.00,91,TRUE,97,10,10,10,10,10,10
812337,2011-07-12,within an hour,FALSE,3,3,Dufferin Grove,Private room,1,4,1,0,$90.00,24,TRUE,93,9,10,10,10,9,10
1615944,2012-01-16,within a few hours,TRUE,1,1,Blake-Jones,Private room,1,1,1,NA,$52.00,34,TRUE,100,10,10,10,10,10,10
812337,2011-07-12,within an hour,FALSE,3,3,Dufferin Grove,Private room,3,3,1,NA,$85.00,23,TRUE,95,9,10,10,10,9,9
1664812,2012-01-28,N/A,FALSE,1,1,High Park North,Entire home/apt,2,8,4,1500,$260.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
1390920,2011-11-09,within a few hours,TRUE,1,1,South Riverdale,Entire home/apt,1,6,2,NA,$179.00,137,TRUE,96,10,10,10,10,10,9
1815434,2012-02-26,within a few hours,FALSE,2,2,Palmerston-Little Italy,Entire home/apt,1,1,1,NA,$95.00,25,TRUE,88,9,9,10,10,10,9
174063,2010-07-20,within an hour,TRUE,3,3,South Parkdale,Entire home/apt,1,5,2,NA,$99.00,59,TRUE,95,9,9,10,10,9,9
1828773,2012-02-28,N/A,FALSE,1,1,Willowdale East,Private room,1,1,1,700,$140.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
1816495,2012-02-27,within a few hours,FALSE,3,3,The Beaches,Entire home/apt,1.5,6,2,NA,$229.00,2,TRUE,90,9,9,10,9,10,10
1015670,2011-08-24,N/A,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,$190.00,9,TRUE,98,10,10,10,10,9,9
1903033,2012-03-11,within an hour,FALSE,2,2,Rosedale-Moore Park,Entire home/apt,3.5,8,3,3000,$649.00,1,TRUE,100,10,10,10,10,10,10
1910540,2012-03-12,N/A,TRUE,1,1,Danforth,Entire home/apt,1,2,1,NA,$135.00,32,TRUE,94,10,10,10,10,10,9
1916855,2012-03-13,within an hour,FALSE,2,2,Kensington-Chinatown,Entire home/apt,1,2,1,NA,$111.00,214,TRUE,92,9,10,10,10,10,9
1923052,2012-03-14,N/A,FALSE,1,1,North St.James Town,Private room,1.5,2,1,NA,$65.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
1944849,2012-03-17,within an hour,FALSE,1,1,Dovercourt-Wallace Emerson-Junction,Entire home/apt,1,1,1,NA,$60.00,18,TRUE,73,7,8,9,9,9,8
1952926,2012-03-18,within a few hours,TRUE,6,6,Regent Park,Private room,1,3,1,0,$65.00,779,TRUE,96,10,10,10,10,10,10
304551,2010-11-29,within a few hours,TRUE,6,6,Palmerston-Little Italy,Entire home/apt,1,1,1,0,$80.00,2,TRUE,80,10,8,10,10,10,8
1981383,2012-03-21,within an hour,FALSE,1,1,Roncesvalles,Entire home/apt,2,6,3,16146,$350.00,28,TRUE,97,10,10,10,10,10,10
195095,2010-08-08,within an hour,FALSE,13,13,Rosedale-Moore Park,Private room,1,2,1,NA,$95.00,3,TRUE,100,10,9,10,10,10,10
